emp_id,name,gender,phone_1,phone_2,DOB,email,blood_grp,exp_years,salary,PIN,street,city,Aadhar_no,PAN_no,state,UID,password,curr
1001,Bart Rowe,M,8253908386,9916234457,2009-08-20,Bart.Rowe.1911@school.ac.in,B+,15,44427,855570,"7,Mohan lal colony",Ujhani,469608767275,JO1V7H6QEI,Uttar Pradesh,stf1001,17925938,1
1002,Caleb Cooper,M,8594145390,8176666480,2002-08-13,Caleb.Cooper.4984@school.ac.in,O-,10,41315,345808,"43,Mohan lal colony",Sahawar,941416513190,29CY0A8I2F,Uttar Pradesh,stf1002,96263776,1
1003,Felicity Owen,F,9419640661,9811415734,2004-10-22,Felicity.Owen.6414@school.ac.in,AB+,17,29037,804960,"22,Laxmi nagar",Rae Bareli,478037626808,048I54AXDX,Uttar Pradesh,stf1003,93717788,1
1004,Hayden Harrison,F,7149607349,8952229009,2003-09-10,Hayden.Harrison.0928@school.ac.in,O+,20,11168,855570,"33,Sigra",Ujhani,236473484513,T0RALZKZW8,Uttar Pradesh,stf1004,19014978,1
1005,Liliana Gordon,F,9051537012,7180598923,2004-08-14,Liliana.Gordon.1375@school.ac.in,AB-,16,41591,855570,"5,Lanka",Ujhani,967618091305,U75IEPONEJ,Uttar Pradesh,stf1005,72831544,1
1006,Priscilla Vincent,F,7175251604,7073019570,2003-06-16,Priscilla.Vincent.4826@school.ac.in,B-,26,47617,427929,"13,Mohan lal colony","Shahabad, Hardoi",244045027350,3A51QBX4J7,Uttar Pradesh,stf1006,34413209,1
1007,Hank Jordan,M,8536242208,9949017553,2011-02-14,Hank.Jordan.4260@school.ac.in,A+,10,16629,675996,"2,Ram nagar",Etawah,632337293272,9WXISM9V7J,Uttar Pradesh,stf1007,91467662,1
1008,Selena Lowe,F,9350394636,7888677066,2010-12-04,Selena.Lowe.8050@school.ac.in,A-,15,46953,918651,"12,shastri nagar",Tilhar,122613187465,AAFFPMSN8Y,Uttar Pradesh,stf1008,83196067,1
1009,Kieth Radley,M,7225227960,7893515609,2005-09-21,Kieth.Radley.6063@school.ac.in,A+,22,43736,681077,"15,Metro colony",Renukoot,140102865706,WBPSHL21K7,Uttar Pradesh,stf1009,7093215,1
1010,Sienna Barrett,F,9967408499,9223604968,2010-02-09,Sienna.Barrett.4147@school.ac.in,O+,25,22561,681077,"48,Laxmi nagar",Renukoot,980388438000,2BTM8IUS3N,Uttar Pradesh,stf1010,51369450,1
1011,Tom Woods,M,8634083012,9859377252,2003-11-14,Tom.Woods.5601@school.ac.in,AB-,28,30385,351739,"28,Laxmi nagar",Achhnera,607999812293,BW6EBSXS4P,Uttar Pradesh,stf1011,65451377,1
1012,Manuel Sinclair,M,9598261300,7901032509,2006-07-26,Manuel.Sinclair.2322@school.ac.in,O+,4,33018,331062,"50,Sigra",Moradabad,55659022097,1B2YRDM2S9,Uttar Pradesh,stf1012,88192586,1
1013,Helen Stanley,F,7032977219,7003726517,2011-04-23,Helen.Stanley.9631@school.ac.in,AB+,11,44135,357423,"50,Mohan lal colony",Sikandrabad,606101667244,0T5650GDTZ,Uttar Pradesh,stf1013,48197437,1
1014,Cedrick Howard,M,7833326763,7723226986,2005-12-12,Cedrick.Howard.0653@school.ac.in,B-,13,34783,351739,"19,Shubhash nagar",Achhnera,685685611426,HFIVHPQVPQ,Uttar Pradesh,stf1014,83819706,1
1015,Wade Brooks,M,9315867989,8328374801,2011-06-08,Wade.Brooks.1201@school.ac.in,B+,2,27816,850680,"36,Lanka",Agra,504829374946,UJ5Y7L9M4A,Uttar Pradesh,stf1015,4483560,1
1016,Hank Thorpe,M,7988074220,7416476670,2009-03-10,Hank.Thorpe.4494@school.ac.in,A-,22,12306,331062,"29,Bhelupur",Moradabad,804319962790,9N06IL9HXE,Uttar Pradesh,stf1016,90712409,1
1017,Alice Speed,F,7442333031,8411204178,2012-06-16,Alice.Speed.9193@school.ac.in,B-,24,40270,351739,"48,Bhelupur",Achhnera,949230587202,TS3DTWVVWT,Uttar Pradesh,stf1017,85211026,1
1018,Camila Hardwick,F,9260074089,9939549304,2002-10-15,Camila.Hardwick.5333@school.ac.in,B-,17,36126,357423,"42,Mohan lal colony",Sikandrabad,20281541564,V0S3G9JJTJ,Uttar Pradesh,stf1018,9961935,1
1019,Caleb Victor,M,9094297317,7063949295,2004-04-24,Caleb.Victor.8680@school.ac.in,O+,9,38067,427929,"6,Laxmi nagar","Shahabad, Hardoi",198015206471,62K6Y3IFVQ,Uttar Pradesh,stf1019,756947,1
1020,Alan Snell,M,7858688203,7788500994,2003-03-20,Alan.Snell.8572@school.ac.in,B-,16,43147,331062,"4,Gandhi nagar",Moradabad,753641458894,PAGK2I32BS,Uttar Pradesh,stf1020,55124059,1
1021,Maria Bailey,F,7433107461,7733414484,2002-06-18,Maria.Bailey.8889@school.ac.in,AB-,27,11229,415991,"44,Sigra",Azamgarh,3147905964,7T8X22WRHE,Uttar Pradesh,stf1021,83929901,1
1022,Julia Healy,F,8475237746,7900957469,2009-03-17,Julia.Healy.0852@school.ac.in,O+,13,11874,918651,"41,Gandhi nagar",Tilhar,142983768483,JRCXTJD71Q,Uttar Pradesh,stf1022,9654739,1
1023,Dalia Collins,F,8425468262,8123930824,2011-03-29,Dalia.Collins.9494@school.ac.in,A+,30,45061,962909,"13,Sigra",Sandila,818880521799,HW0HYJ6QN2,Uttar Pradesh,stf1023,97966685,1
1024,Tyson Webster,M,9456079226,9198415021,2012-08-03,Tyson.Webster.8065@school.ac.in,AB-,11,44343,850680,"15,Sadar colony",Agra,205162292815,8OJ7IA9GLO,Uttar Pradesh,stf1024,91106026,1
1025,Caitlyn Kelly,F,9309231301,9415769068,2003-02-24,Caitlyn.Kelly.6190@school.ac.in,AB+,26,11149,351739,"48,Sadar colony",Achhnera,438017960008,TC0GDYU7QA,Uttar Pradesh,stf1025,84856729,1
1026,Stella Gilbert,F,9403984076,7250487840,2008-05-29,Stella.Gilbert.9258@school.ac.in,A-,1,27968,351739,"23,Metro colony",Achhnera,937247647682,WOYLYDAMI5,Uttar Pradesh,stf1026,75464099,1
1027,Russel Morrison,M,9486805143,9772513482,2012-12-14,Russel.Morrison.5040@school.ac.in,A+,15,23642,345808,"34,Sadar colony",Sahawar,700568976204,1CLM8MEVZU,Uttar Pradesh,stf1027,53500492,1
1028,Susan Cooper,F,8848689779,9952487951,2007-03-16,Susan.Cooper.4070@school.ac.in,A-,20,49647,357423,"34,Ram nagar",Sikandrabad,36392372288,MJGTXW2GR3,Uttar Pradesh,stf1028,88365088,1
1029,Eduardo Barclay,M,7057662024,9336305846,2004-01-05,Eduardo.Barclay.9925@school.ac.in,B-,29,23480,850680,"36,Laxmi nagar",Agra,940926114443,YIVTB7KDGF,Uttar Pradesh,stf1029,64394333,1
1030,Regina Lee,F,8046237360,9315640570,2008-03-29,Regina.Lee.5975@school.ac.in,AB-,7,16974,345808,"28,Bhelupur",Sahawar,875250237366,SV9K9LCKPY,Uttar Pradesh,stf1030,41597226,1
1031,Henry Antcliff,M,7193542465,8509867569,2002-09-23,Henry.Antcliff.6288@school.ac.in,AB-,29,24139,804960,"24,Gandhi nagar",Rae Bareli,15964886266,BPMR34HLLJ,Uttar Pradesh,stf1031,25627681,1
1032,Johnny Johnson,M,8103268954,8816774822,2012-05-14,Johnny.Johnson.2958@school.ac.in,A+,5,45702,804960,"2,Mohan lal colony",Rae Bareli,639201971841,W3OJJJXHLV,Uttar Pradesh,stf1032,99697009,1
1033,Leanne Adler,F,8863271689,9213451105,2011-06-16,Leanne.Adler.7434@school.ac.in,O-,5,22259,415991,"16,shastri nagar",Azamgarh,390146554707,6PY16Q6LAR,Uttar Pradesh,stf1033,10919246,1
1034,Harvey Murphy,M,8910158592,8832388312,2004-09-30,Harvey.Murphy.4960@school.ac.in,A-,2,41833,761821,"27,Gandhi nagar",Sahjanwa,274894813843,KM0FV02TUB,Uttar Pradesh,stf1034,186824,1
1035,Janice Benson,F,9988777818,7554371561,2011-10-15,Janice.Benson.0747@school.ac.in,B-,15,28459,675996,"10,Ram nagar",Etawah,189099310362,BTUGVD1XAF,Uttar Pradesh,stf1035,3118725,1
1036,Henry Young,M,8966392349,9471047821,2002-11-30,Henry.Young.6634@school.ac.in,B+,19,21246,351739,"30,Bhelupur",Achhnera,873437509190,U8KLU96SSV,Uttar Pradesh,stf1036,54426924,1
1037,Jennifer Vallins,F,7508760952,9294123722,2011-11-30,Jennifer.Vallins.2154@school.ac.in,A+,3,40015,357423,"26,Ram nagar",Sikandrabad,504667348864,P6XLUC3A16,Uttar Pradesh,stf1037,81570814,1
1038,Tess Lunt,F,9914392085,9075270147,2005-01-25,Tess.Lunt.6044@school.ac.in,B-,3,46342,351739,"9,Gandhi nagar",Achhnera,461777231718,6SL9FY070S,Uttar Pradesh,stf1038,62680844,1
1039,Iris Morgan,F,9360989247,7346025453,2011-07-02,Iris.Morgan.2641@school.ac.in,A-,26,48227,331062,"29,Laxmi nagar",Moradabad,57492082127,TXQYQSXSPH,Uttar Pradesh,stf1039,81591604,1
1040,Ron Ross,M,9749802463,8691535086,2005-05-29,Ron.Ross.5041@school.ac.in,O-,11,29469,351739,"47,Sigra",Achhnera,642750437688,HC2R4SOTIL,Uttar Pradesh,stf1040,93094647,1
1041,Javier Weasley,M,7034288180,8311159815,2009-07-14,Javier.Weasley.9568@school.ac.in,AB-,23,44500,850680,"39,Sadar colony",Agra,417654673607,ZIVQ61O8SY,Uttar Pradesh,stf1041,77627050,1
1042,Mason Radley,M,7523986478,8057750994,2006-04-15,Mason.Radley.1602@school.ac.in,A-,19,35911,850680,"10,Mohan lal colony",Agra,982695587800,PKUMD1N5XV,Uttar Pradesh,stf1042,17301543,1
1043,Darlene Poulton,F,7444483864,7352744384,2006-08-05,Darlene.Poulton.7838@school.ac.in,AB-,29,28732,855570,"41,Lanka",Ujhani,704162593869,ZEGG0OYKLO,Uttar Pradesh,stf1043,72863805,1
1044,Ethan Mitchell,M,7731711138,7415162532,2008-02-23,Ethan.Mitchell.7247@school.ac.in,AB-,28,26347,221725,"19,Sigra",Sitapur,892854457617,VPPDS7QXT3,Uttar Pradesh,stf1044,40339568,1
1045,Nate Taylor,M,7887009456,9102206479,2002-10-01,Nate.Taylor.1786@school.ac.in,AB-,11,33397,855570,"14,Laxmi nagar",Ujhani,555955492467,KJ5QGLF5J7,Uttar Pradesh,stf1045,14255547,1
1046,Enoch Roth,M,9644279486,7623368006,2004-10-07,Enoch.Roth.0426@school.ac.in,B-,27,29719,962909,"19,Ram nagar",Sandila,194096153517,FD5AWMMORP,Uttar Pradesh,stf1046,74388257,1
