SRN,name,gender,phone_1,phone_2,DOB,admission_date,email,blood_grp,guardian,mother,PIN,street,city,Aadhar_no,state,photo,UID,password,class_no,section_no
1001,Benny Burge,M,8536760591,8002182756,2002-09-13,2006-02-03,Benny.Burge.4290@school.ac.in,O-,Barry Tanner,Lexi Button,834591,"40,Metro colony",Najibabad,220981000000.0,Uttar Pradesh,,stu1001,52712878,6,1
1002,Ryan Noach,M,9671699674,9304523754,2007-02-21,2010-09-17,Ryan.Noach.5173@school.ac.in,O-,Hailey Cassidy,Hank Mcleod,580817,"29,Laxmi nagar",Varanasi,583178000000.0,Uttar Pradesh,,stu1002,7556622,6,1
1003,Jules Hunter,F,8245977817,7985956980,2011-11-09,2002-11-08,Jules.Hunter.2988@school.ac.in,AB+,Mabel Russel,Bart Fisher,363624,"17,Sadar colony",Sadabad,893288000000.0,Uttar Pradesh,,stu1003,74263163,6,1
1004,Matt Leigh,M,7161861010,8699594592,2004-08-03,2010-07-11,Matt.Leigh.9451@school.ac.in,A+,Aiden Bailey,Hank Cunningham,834591,"41,Lanka",Najibabad,847412000000.0,Uttar Pradesh,,stu1004,85414320,6,1
1005,Francesca Osmond,F,9333070251,8534296689,2008-09-04,2011-09-18,Francesca.Osmond.5789@school.ac.in,O-,Javier Adams,Ellen Terry,409985,"22,Laxmi nagar",Orai,239558000000.0,Uttar Pradesh,,stu1005,76267143,6,1
1006,Noah Brown,M,7851166410,8367547172,2006-01-26,2007-08-06,Noah.Brown.5650@school.ac.in,AB-,Rufus Rothwell,Boris Pearce,159494,"29,Gandhi nagar",Nautanwa,659134000000.0,Uttar Pradesh,,stu1006,20879446,6,1
1007,Andrea Bentley,F,8082274712,8580136897,2012-09-25,2011-12-11,Andrea.Bentley.8947@school.ac.in,O-,Tom Graham,Hayden Slater,518615,"16,shastri nagar",Naraura,115781000000.0,Uttar Pradesh,,stu1007,78266168,6,1
1008,Harry Rogers,M,9540390920,9634328148,2012-07-16,2002-12-28,Harry.Rogers.7838@school.ac.in,O+,Gwen Potts,Anabel Kelly,715128,"20,Bhelupur",Pilkhuwa,282396000000.0,Uttar Pradesh,,stu1008,66347745,6,1
1009,Shannon Buckley,F,9611888318,9605151984,2002-03-22,2011-02-30,Shannon.Buckley.0984@school.ac.in,AB+,Barry Tyler,Kendra Overson,715128,"31,Gandhi nagar",Pilkhuwa,918553000000.0,Uttar Pradesh,,stu1009,21101180,6,1
1010,Jayden Hogg,M,8467372634,9622157758,2012-01-14,2002-10-07,Jayden.Hogg.8285@school.ac.in,O-,Crystal Clifton,Harry Hill,767202,"31,Laxmi nagar",Robertsganj,521563000000.0,Uttar Pradesh,,stu1010,22408085,6,1
1011,Jacob Torres,M,7164116573,7916668366,2003-10-06,2005-01-16,Jacob.Torres.1048@school.ac.in,O-,Catherine Nayler,Javier Saunders,988782,"44,Bhelupur",Shahganj,894338000000.0,Uttar Pradesh,,stu1011,3929685,6,1
1012,Sabina Notman,F,8187943205,7035334806,2009-08-21,2012-03-21,Sabina.Notman.5004@school.ac.in,O+,Skylar Boyle,Celia Pitt,553041,"9,Ram nagar",Safipur,133221000000.0,Uttar Pradesh,,stu1012,85905464,6,1
1013,Faith Seymour,F,7771913911,7958591538,2011-07-21,2005-09-14,Faith.Seymour.5197@school.ac.in,B-,Ethan Dixon,Alexander Carter,767202,"44,Metro colony",Robertsganj,248811000000.0,Uttar Pradesh,,stu1013,32996648,6,1
1014,Miriam Briggs,F,8795299953,7809104265,2002-01-12,2004-03-29,Miriam.Briggs.3303@school.ac.in,AB+,Enoch Fulton,Hank Thompson,363624,"8,Lanka",Sadabad,727593000000.0,Uttar Pradesh,,stu1014,94356594,6,1
1015,Maggie Robertson,F,7059760037,8602214063,2008-07-09,2007-03-20,Maggie.Robertson.1183@school.ac.in,AB-,Ilona Thompson,Matthew Underhill,176318,"4,Shubhash nagar",Sirsi,335933000000.0,Uttar Pradesh,,stu1015,10674217,6,1
1016,Summer Hope,F,8060003873,7161978414,2007-12-10,2006-09-05,Summer.Hope.2747@school.ac.in,A-,Oliver Morrow,Hank Umney,834591,"35,Ram nagar",Najibabad,932106000000.0,Uttar Pradesh,,stu1016,83567806,6,1
1017,Jacob Archer,M,7529047072,8482363983,2012-11-10,2004-11-29,Jacob.Archer.2288@school.ac.in,A+,Tyler Bailey,George Rogers,767202,"5,Ram nagar",Robertsganj,235652000000.0,Uttar Pradesh,,stu1017,17588262,6,1
1018,Denny Townend,M,9980996931,7191929242,2008-09-25,2011-08-06,Denny.Townend.1458@school.ac.in,AB-,Sienna Bowen,Lillian Vaughn,553041,"50,Shubhash nagar",Safipur,394896000000.0,Uttar Pradesh,,stu1018,51290049,6,1
1019,Wade Cobb,M,9539766393,9843471855,2006-04-08,2006-05-17,Wade.Cobb.8146@school.ac.in,A-,Karen Noon,Hank Thompson,988782,"22,shastri nagar",Shahganj,621775000000.0,Uttar Pradesh,,stu1019,61288121,6,1
1020,Angelica Gray,F,7581347036,9262870913,2011-07-02,2007-11-03,Angelica.Gray.5869@school.ac.in,AB+,Willow Foxley,Bob Moore,553041,"31,Sadar colony",Safipur,18889994543.0,Uttar Pradesh,,stu1020,41980247,6,1
1021,Aiden Carson,M,8194124675,8881322564,2010-11-06,2010-10-28,Aiden.Carson.5027@school.ac.in,B+,Carla Sawyer,Rosa Santos,409985,"2,Gandhi nagar",Orai,932441000000.0,Uttar Pradesh,,stu1021,52784050,6,2
1022,Manuel Hunt,M,7560189144,7907843548,2011-02-17,2002-01-15,Manuel.Hunt.5311@school.ac.in,A+,Zoe Parker,Wade Gray,176318,"14,Sigra",Sirsi,810565000000.0,Uttar Pradesh,,stu1022,261980,6,2
1023,Henry Marshall,M,9572915287,7850774014,2007-01-20,2007-02-22,Henry.Marshall.5533@school.ac.in,AB-,Alma Andersson,Adela Saunders,363624,"32,Sadar colony",Sadabad,266727000000.0,Uttar Pradesh,,stu1023,75391248,6,2
1024,Macy John,F,8075947715,8860128099,2008-10-28,2010-04-28,Macy.John.7087@school.ac.in,B-,Kamila Ventura,Kirsten Lowe,176318,"37,Shubhash nagar",Sirsi,7450809032.0,Uttar Pradesh,,stu1024,39475036,6,2
1025,Livia Brooks,F,9527709530,8677857497,2009-01-10,2003-03-09,Livia.Brooks.5199@school.ac.in,O+,Chris Marshall,Owen Rees,409985,"29,Ram nagar",Orai,697804000000.0,Uttar Pradesh,,stu1025,49173299,6,2
1026,Javier Saunders,M,9684077814,9005796095,2010-04-15,2008-12-25,Javier.Saunders.3551@school.ac.in,AB+,Leilani Gordon,Bernadette Franks,767202,"27,Laxmi nagar",Robertsganj,655048000000.0,Uttar Pradesh,,stu1026,13417432,6,2
1027,Maxwell Cox,M,7000670140,8056767714,2003-05-05,2004-06-17,Maxwell.Cox.8816@school.ac.in,AB-,Abdul Taylor,Megan Seymour,553041,"18,Shubhash nagar",Safipur,784733000000.0,Uttar Pradesh,,stu1027,52499507,6,2
1028,Mark Mooney,M,7048943880,9619560357,2003-01-04,2004-08-18,Mark.Mooney.3397@school.ac.in,AB+,Gemma Darcy,Matt Harris,223014,"31,Mohan lal colony",Sandi,952191000000.0,Uttar Pradesh,,stu1028,68490545,6,2
1029,Alexander Carter,M,8820879308,8027587997,2010-12-11,2009-11-23,Alexander.Carter.9964@school.ac.in,A-,Harriet Wilkinson,Deborah Swan,834591,"4,Sigra",Najibabad,819410000000.0,Uttar Pradesh,,stu1029,69834723,6,2
1030,Adeline Spencer,F,8632549318,7421111553,2006-12-25,2003-08-12,Adeline.Spencer.3303@school.ac.in,O+,Ryan Wright,Jane Collins,162998,"1,Ram nagar",Thana Bhawan,815989000000.0,Uttar Pradesh,,stu1030,75271546,6,2
1031,Clint Russel,M,9812296390,9335177143,2009-02-11,2010-05-12,Clint.Russel.9944@school.ac.in,AB+,Sasha Fisher,Joyce Needham,381636,"43,Laxmi nagar",Sandila,526311000000.0,Uttar Pradesh,,stu1031,74537404,6,2
1032,Henry Taylor,M,9924682048,7216233713,2003-01-04,2012-08-07,Henry.Taylor.2358@school.ac.in,O-,Aiden Carson,Henry Verdon,176318,"35,Mohan lal colony",Sirsi,705472000000.0,Uttar Pradesh,,stu1032,45622974,6,2
1033,Ron Wood,M,7992579899,7946816896,2007-03-02,2003-12-23,Ron.Wood.8229@school.ac.in,A+,Mike Dowson,Gloria Thomas,162998,"27,Laxmi nagar",Thana Bhawan,812360000000.0,Uttar Pradesh,,stu1033,86686055,6,2
1034,Rosie Woodcock,F,9206683317,7242236700,2012-08-17,2010-02-24,Rosie.Woodcock.4758@school.ac.in,A-,Iris Moran,Ron Randall,228535,"47,Ram nagar",Reoti,41680289355.0,Uttar Pradesh,,stu1034,45011277,6,2
1035,Jack Fisher,M,7674796461,9546145964,2002-07-18,2012-08-19,Jack.Fisher.5136@school.ac.in,AB-,Manuel Payne,Elise Alexander,580817,"48,Laxmi nagar",Varanasi,174706000000.0,Uttar Pradesh,,stu1035,63038546,6,2
1036,Leroy Warren,M,7717872393,9556755082,2007-04-16,2012-11-18,Leroy.Warren.6952@school.ac.in,AB+,Leslie Cassidy,Harry Rogers,988782,"9,Gandhi nagar",Shahganj,384368000000.0,Uttar Pradesh,,stu1036,70177123,6,2
1037,Ron Mullins,M,8965342865,8005013528,2010-02-23,2004-05-27,Ron.Mullins.0674@school.ac.in,A-,Barry Barclay,Mark Plumb,354265,"49,Shubhash nagar",Azamgarh,859586000000.0,Uttar Pradesh,,stu1037,87517296,6,2
1038,Gabriel Ellis,M,7485817309,7341321200,2010-01-14,2011-07-09,Gabriel.Ellis.5207@school.ac.in,AB-,Gwen Flett,Chris Carson,363624,"17,Metro colony",Sadabad,670190000000.0,Uttar Pradesh,,stu1038,20236010,6,2
1039,Remy Thompson,F,8055823044,7156478407,2010-09-03,2012-12-21,Remy.Thompson.3931@school.ac.in,O-,John Wills,Maria Mcguire,834591,"17,Lanka",Najibabad,589135000000.0,Uttar Pradesh,,stu1039,7925115,6,2
1040,Madelyn Overson,F,7462017794,8644834359,2004-10-20,2011-04-24,Madelyn.Overson.7671@school.ac.in,AB+,Emma Jacobs,Brad Selby,988782,"29,Metro colony",Shahganj,658804000000.0,Uttar Pradesh,,stu1040,57517753,6,2
